RA Master,,,,,,,
Level,Operator,Circle,LRN,Model,ROUTING DETAILS,HLR Detail,Sub Level
7735,RELIANCE_GSM,OR,3150,GSM,Please route Through BTSL (AES),HLR1,
7736,TATA_GSM,KL,3293,GSM,Please route Through BTSL (AES),HLR1,
7737,TATA_GSM,RJ,3299,GSM,Please route Through BTSL (AES),HLR1,
7738,AIRTEL,MB,3007,GSM,Please route Through BTSL (AES),HLR2,
7739,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),HLR5,
7742,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),HLR2,
7760,AIRTEL,KA,3002,GSM,Please route Through BTSL (AES),HLR4,
7795,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
7796,TATA_GSM,DL,3287,GSM,Please route Through BTSL (AES),HLR2,
7797,VODAFONE,WB,4124,GSM,Please route Through BTSL (AES),HLR3,
7798,VODAFONE,MH,4100,GSM,Please route Through BTSL (AES),HLR2,
7799,VODAFONE,AP,4109,GSM,Please route Through BTSL (AES),HLR2,
7800,VODAFONE,UE,4104,GSM,Please route Through BTSL (AES),HLR1,
7807,STEL,HP,3156,GSM,Please route Through BTSL (AES),HLR1,
7808,STEL,BH,3155,GSM,Please route Through BTSL (AES),HLR5,
7809,STEL,OR,3159,GSM,Please route Through BTSL (AES),HLR1,
7814,RELIANCE_GSM,PB,3139,GSM,Please route Through BTSL (AES),HLR2,
7827,RELIANCE_GSM,DL,3131,GSM,Please route Through BTSL (AES),HLR2,
7828,RELIANCE_GSM,MP,3148,GSM,Please route Through BTSL (AES),HLR3,
7829,VODAFONE,KA,4121,GSM,Please route Through BTSL (AES),HLR2,
7830,VODAFONE,UW,4123,GSM,Please route Through BTSL (AES),HLR1,
7837,VODAFONE,PB,4122,GSM,Please route Through BTSL (AES),HLR2,
7838,VODAFONE,DL,4108,GSM,Please route Through BTSL (AES),HLR2,
7842,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
7845,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
7860,IDEA,UE,3082,GSM,Please route Through BTSL (AES),HLR1,
7869,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),HLR3,
7870,UNINOR,BH,3499,GSM,Please route Through BTSL (AES),HLR5,
7871,UNINOR,TN,3575,GSM,Please route Through BTSL (AES),CH HLR1,
7872,VODAFONE,WB,4124,GSM,Please route Through BTSL (AES),HLR3,
7873,VODAFONE,OR,4191,GSM,Please route Through BTSL (AES),HLR1,
7874,VODAFONE,GJ,4106,GSM,Please route Through BTSL (AES),HLR3,
7875,VODAFONE,MH,4100,GSM,Please route Through BTSL (AES),HLR2,
7876,RELIANCE_GSM,HR,3133,GSM,Please route Through BTSL (AES),HLR1,
7877,RELIANCE_GSM,RJ,3140,GSM,Please route Through BTSL (AES),HLR1,
7878,RELIANCE_GSM,GJ,3132,GSM,Please route Through BTSL (AES),HLR3,
7879,RELIANCE_GSM,MP,3148,GSM,Please route Through BTSL (AES),HLR3,
7890,IDEA,KO,3073,GSM,Please route Through BTSL (AES),HLR1,
7891,IDEA,RJ,3080,GSM,Please route Through BTSL (AES),HLR1,
7893,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),HLR2,
7894,AIRTEL,OR,3008,GSM,Please route Through BTSL (AES),HLR1,
7895,AIRTEL,UW,3022,GSM,Please route Through BTSL (AES),HLR1,
7896,AIRTEL,AS,2725,GSM,Please route Through BTSL (AES),HLR1,
7897,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),HLR3,
7898,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),HLR2,
7899,UNINOR,KA,3573,GSM,Please route Through BTSL (AES),HLR2,
8000,RELIANCE_GSM,GJ,3132,GSM,Please route Through BTSL (AES),HLR3,
8001,VODAFONE,WB,4124,GSM,Please route Through BTSL (AES),HLR3,
8002,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),HLR4,
8003,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),HLR1,
8004,BSNL_GSM,UE,2540,GSM,Please route Through BTSL (AES),HLR1,
8005,BSNL_GSM,UE,2540,GSM,Please route Through BTSL (AES),HLR1,
8006,VODAFONE,UW,4123,GSM,Please route Through BTSL (AES),HLR1,
8007,VODAFONE,MH,4100,GSM,Please route Through BTSL (AES),HLR2,
8008,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),HLR3,
8009,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),HLR2,
8010,RELIANCE_GSM,DL,3131,GSM,Please route Through BTSL (AES),HLR2,
8011,AIRTEL,AS,2725,GSM,Please route Through BTSL (AES),HLR1,
8012,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
8013,AIRCEL,KO,3054,GSM,Please route Through BTSL (AES),HLR1,
8014,AIRCEL,NE,3056,GSM,Please route Through BTSL (AES),HLR1,
8015,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
8016,AIRTEL,WB,3023,GSM,Please route Through BTSL (AES),HLR2,
8017,VODAFONE,KO,4105,GSM,Please route Through BTSL (AES),HLR1,
8018,AIRTEL,OR,3008,GSM,Please route Through BTSL (AES),HLR2,
